TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,7,15,11,0,3XX PRINCESS AVE,Strathcona,493355.6074,5458818.7745
Theft from Vehicle,2019,1,10,17,0,3XX RAILWAY ST,Strathcona,492893.5695,5459064.228
Theft from Vehicle,2019,1,15,19,0,3XX RAILWAY ST,Strathcona,492893.5695,5459064.228
Theft from Vehicle,2019,4,22,15,37,3XX RAILWAY ST,Strathcona,492893.5695,5459064.228
Theft from Vehicle,2019,5,4,22,0,3XX RAILWAY ST,Strathcona,492893.5695,5459064.228
Theft from Vehicle,2019,7,2,12,30,3XX RAILWAY ST,Strathcona,492893.5695,5459064.228
Theft from Vehicle,2019,7,20,21,45,3XX RAILWAY ST,Strathcona,492937.5883,5459089.3762
Theft from Vehicle,2019,8,7,11,0,3XX RAILWAY ST,Strathcona,492937.5883,5459089.3762
Theft from Vehicle,2019,5,3,0,45,3XX RAILWAY ST,Strathcona,493053.3999,5459118.237
Theft from Vehicle,2019,2,22,2,0,3XX RAILWAY ST,Strathcona,493062.2736,5459129.9909
Theft from Vehicle,2019,9,25,1,50,3XX RAILWAY ST,Strathcona,493062.2736,5459129.9909
Theft from Vehicle,2019,5,3,22,0,3XX RAYMUR AVE,Strathcona,494011.1881,5458799.327
Theft from Vehicle,2019,2,3,9,30,3XX TERMINAL AVE,Strathcona,492876.0374,5457737.2692
Theft from Vehicle,2019,4,26,9,0,3XX TERMINAL AVE,Strathcona,493000.1651,5457727.5737
Theft from Vehicle,2019,5,16,9,0,3XX TERMINAL AVE,Strathcona,493000.1651,5457727.5737
Theft from Vehicle,2019,11,5,13,30,3XX TERMINAL AVE,Strathcona,493000.1651,5457727.5737
Theft from Vehicle,2019,8,19,20,0,3XX UNION ST,Strathcona,492952.4511,5458317.7212
Theft from Vehicle,2019,9,2,3,45,3XX UNION ST,Strathcona,492962.3318,5458317.4485
Theft from Vehicle,2019,10,28,10,0,3XX UNION ST,Strathcona,492996.2262,5458316.5012
Theft from Vehicle,2019,5,6,9,14,3XX VERNON DR,Strathcona,494249.6896,5458833.8928
Theft from Vehicle,2019,11,2,11,0,3XX VERNON DR,Strathcona,494249.6896,5458833.8928
Theft from Vehicle,2019,1,16,15,1,4XX ALEXANDER ST,Strathcona,493076.8136,5459029.0149
Theft from Vehicle,2019,4,17,16,0,4XX ALEXANDER ST,Strathcona,493076.8136,5459029.0149
Theft from Vehicle,2019,10,4,23,0,4XX CAMPBELL AVE,Strathcona,493827.3126,5458676.7834
Theft from Vehicle,2019,2,7,17,30,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Theft from Vehicle,2019,4,11,15,30,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Theft from Vehicle,2019,7,4,18,30,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Theft from Vehicle,2019,8,6,19,0,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Theft from Vehicle,2019,8,28,19,0,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Theft from Vehicle,2019,11,6,21,52,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Theft from Vehicle,2019,7,24,7,48,4XX DUNLEVY AVE,Strathcona,493054.3335,5458639.851
Theft from Vehicle,2019,4,9,15,12,4XX DUNLEVY AVE,Strathcona,493065.5441,5458723.3588
Theft from Vehicle,2019,4,9,17,30,4XX DUNLEVY AVE,Strathcona,493065.5441,5458723.3588
Theft from Vehicle,2019,6,15,15,20,4XX E CORDOVA ST,Strathcona,493087.1644,5458827.3062
Theft from Vehicle,2019,6,30,12,0,4XX E CORDOVA ST,Strathcona,493087.1644,5458827.3062
Theft from Vehicle,2019,7,4,20,59,4XX E CORDOVA ST,Strathcona,493087.1644,5458827.3062
Theft from Vehicle,2019,6,15,6,0,4XX E HASTINGS ST,Strathcona,493068.1692,5458724.1138
