TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2021,9,23,14,0,19XX VENABLES ST,Grandview-Woodland,495353.634,5458204.7898
Theft from Vehicle,2021,10,11,20,0,19XX WOODLAND DR,Grandview-Woodland,494644.9297,5457203.9455
Theft from Vehicle,2021,12,9,22,0,19XX WOODLAND DR,Grandview-Woodland,494654.3177,5457222.2051
Theft from Vehicle,2021,10,8,2,0,1XX GARDEN DR,Grandview-Woodland,495803.2628,5458981.2235
Theft from Vehicle,2021,4,1,19,0,1XX GARDEN DR,Grandview-Woodland,495803.6476,5458994.7734
Theft from Vehicle,2021,6,7,18,30,1XX SEMLIN DR,Grandview-Woodland,495381.889,5459016.0179
Theft from Vehicle,2021,1,14,15,0,1XX TEMPLETON DR,Grandview-Woodland,495652.2267,5458946.1336
Theft from Vehicle,2021,7,25,22,0,1XX TEMPLETON DR,Grandview-Woodland,495661.7836,5459000.6234
Theft from Vehicle,2021,5,24,3,13,20XX CHARLES ST,Grandview-Woodland,495403.3284,5457810.0564
Theft from Vehicle,2021,8,19,4,25,20XX CHARLES ST,Grandview-Woodland,495403.3284,5457810.0564
Theft from Vehicle,2021,8,27,0,0,20XX CLARK DR,Grandview-Woodland,494372.7222,5457067.5138
Theft from Vehicle,2021,9,9,5,45,20XX E 2ND AVE,Grandview-Woodland,495406.3479,5457327.2016
Theft from Vehicle,2021,4,8,21,0,20XX E 4TH AVE,Grandview-Woodland,495387.1153,5457116.6303
Theft from Vehicle,2021,7,29,2,41,20XX E 5TH AVE,Grandview-Woodland,495358.0678,5457016.7788
Theft from Vehicle,2021,7,10,21,0,20XX E 5TH AVE,Grandview-Woodland,495363.4164,5457025.8648
Theft from Vehicle,2021,9,19,19,0,20XX E 5TH AVE,Grandview-Woodland,495451.1417,5457015.7597
Theft from Vehicle,2021,3,16,21,0,20XX E GEORGIA ST,Grandview-Woodland,495461.8805,5458401.8928
Theft from Vehicle,2021,7,31,0,0,20XX E HASTINGS ST,Grandview-Woodland,495378.897,5458712.4574
Theft from Vehicle,2021,2,6,21,0,20XX E HASTINGS ST,Grandview-Woodland,495387.0442,5458721.4985
Theft from Vehicle,2021,7,22,3,0,20XX E PENDER ST,Grandview-Woodland,495377.2468,5458606.8507
Theft from Vehicle,2021,9,13,1,52,20XX FRANKLIN ST,Grandview-Woodland,495378.803,5458816.1015
Theft from Vehicle,2021,9,11,23,0,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.4243
Theft from Vehicle,2021,11,16,0,0,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.4243
Theft from Vehicle,2021,11,26,8,0,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.4243
Theft from Vehicle,2021,12,19,13,0,20XX GRANT ST,Grandview-Woodland,495367.3185,5457606.8921
Theft from Vehicle,2021,5,16,2,0,20XX GRAVELEY ST,Grandview-Woodland,495443.3947,5457517.3857
Theft from Vehicle,2021,7,15,6,7,20XX KITCHENER ST,Grandview-Woodland,495365.846,5457700.7487
Theft from Vehicle,2021,4,13,1,0,20XX KITCHENER ST,Grandview-Woodland,495368.6273,5457700.6745
Theft from Vehicle,2021,9,5,20,0,20XX LAKEWOOD DR,Grandview-Woodland,495489.3964,5457030.8352
Theft from Vehicle,2021,9,5,20,0,20XX PARKER ST,Grandview-Woodland,495432.992,5458111.3279
Theft from Vehicle,2021,4,25,14,30,20XX SEMLIN DR,Grandview-Woodland,495357.0979,5457116.5092
Theft from Vehicle,2021,1,30,11,30,20XX VENABLES ST,Grandview-Woodland,495399.7933,5458204.3098
Theft from Vehicle,2021,4,27,22,0,20XX VENABLES ST,Grandview-Woodland,495439.9104,5458204.107
Theft from Vehicle,2021,2,13,0,0,20XX VENABLES ST,Grandview-Woodland,495447.9338,5458204.0664
Theft from Vehicle,2021,6,18,15,0,20XX VENABLES ST,Grandview-Woodland,495453.3289,5458213.1833
Theft from Vehicle,2021,1,7,18,0,21XX E 3RD AVE,Grandview-Woodland,495604.0561,5457214.5361
Theft from Vehicle,2021,5,25,21,0,21XX E 3RD AVE,Grandview-Woodland,495604.0561,5457214.5361
Theft from Vehicle,2021,2,26,17,0,21XX E 4TH AVE,Grandview-Woodland,495539.9079,5457106.9829
Theft from Vehicle,2021,4,11,2,0,21XX E 6TH AVE,Grandview-Woodland,495524.5984,5456922.398
Theft from Vehicle,2021,2,2,10,42,21XX E 6TH AVE,Grandview-Woodland,495540.5958,5456913.149
Theft from Vehicle,2021,12,19,0,0,21XX E 7TH AVE,Grandview-Woodland,495497.6344,5456816.4657
Theft from Vehicle,2021,12,18,20,0,21XX E 7TH AVE,Grandview-Woodland,495511.0295,5456816.549
Theft from Vehicle,2021,5,17,1,19,21XX E 8TH AVE,Grandview-Woodland,495501.1395,5456713.4365
Theft from Vehicle,2021,10,9,23,53,21XX E 8TH AVE,Grandview-Woodland,495581.4382,5456721.3098
Theft from Vehicle,2021,3,9,17,30,21XX E 8TH AVE,Grandview-Woodland,495624.1945,5456711.4876
Theft from Vehicle,2021,5,28,4,30,21XX E BROADWAY AVE,Grandview-Woodland,495594.314,5456616.3053
Theft from Vehicle,2021,12,15,17,0,21XX FERNDALE ST,Grandview-Woodland,495516.6965,5458542.6242
Theft from Vehicle,2021,1,24,12,0,21XX FRANKLIN ST,Grandview-Woodland,495520.827,5458814.052
Theft from Vehicle,2021,10,24,17,30,21XX GRANT ST,Grandview-Woodland,495506.4951,5457604.9929
Theft from Vehicle,2021,7,27,0,0,21XX GRANT ST,Grandview-Woodland,495560.8802,5457605.2396
Theft from Vehicle,2021,2,7,2,39,21XX GRAVELEY ST,Grandview-Woodland,495515.9309,5457516.2498
Theft from Vehicle,2021,4,23,2,30,21XX NAPIER ST,Grandview-Woodland,495619.7117,5458011.812
Theft from Vehicle,2021,10,29,21,0,21XX OXFORD ST,Grandview-Woodland,495589.7081,5459215.3714
Theft from Vehicle,2021,12,7,16,30,21XX PANDORA ST,Grandview-Woodland,495563.3592,5458925.4883
Theft from Vehicle,2021,5,2,0,0,21XX PANDORA ST,Grandview-Woodland,495587.1626,5458914.5086
Theft from Vehicle,2021,11,14,12,0,21XX PARKER ST,Grandview-Woodland,495510.4898,5458098.6256
Theft from Vehicle,2021,7,31,22,0,21XX PARKER ST,Grandview-Woodland,495601.8977,5458097.1017
Theft from Vehicle,2021,9,21,18,0,21XX SEMLIN DR,Grandview-Woodland,495355.519,5457019.8652
Theft from Vehicle,2021,12,9,23,5,21XX SEMLIN DR,Grandview-Woodland,495355.519,5457019.8652
Theft from Vehicle,2021,4,23,5,29,21XX TEMPLETON DR,Grandview-Woodland,495637.4505,5457016.489
Theft from Vehicle,2021,2,15,6,50,21XX VENABLES ST,Grandview-Woodland,495515.2461,5458203.7054
Theft from Vehicle,2021,7,17,12,45,21XX VENABLES ST,Grandview-Woodland,495525.8442,5458203.6212
Theft from Vehicle,2021,10,22,23,0,21XX VENABLES ST,Grandview-Woodland,495533.9509,5458212.7008
Theft from Vehicle,2021,10,16,10,0,21XX WILLIAM ST,Grandview-Woodland,495537.5662,5457908.5553
Theft from Vehicle,2021,5,22,7,29,22XX CHARLES ST,Grandview-Woodland,495719.8419,5457805.1959
Theft from Vehicle,2021,8,7,18,0,22XX DUNDAS ST,Grandview-Woodland,495664.7508,5459114.1125
