TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2020,2,6,18,0,1XX HEATLEY AVE,Strathcona,493504.0949,5459020.5279
Theft from Vehicle,2020,2,17,9,0,1XX JACKSON AVE,Strathcona,493218.7074,5459025.2009
Theft from Vehicle,2020,4,5,10,50,1XX JACKSON AVE,Strathcona,493218.7074,5459025.2009
Theft from Vehicle,2020,5,26,12,0,1XX PRINCESS AVE,Strathcona,493350.4732,5459011.1812
Theft from Vehicle,2020,2,18,14,14,20XX CLARK DR,Strathcona,494363.6763,5457086.8626
Theft from Vehicle,2020,9,1,17,0,2XX ALEXANDER ST,Strathcona,492770.2976,5459039.1108
Theft from Vehicle,2020,11,25,20,0,2XX ALEXANDER ST,Strathcona,492770.2976,5459039.1108
Theft from Vehicle,2020,9,20,11,30,2XX ALEXANDER ST,Strathcona,492867.903,5459044.7708
Theft from Vehicle,2020,4,9,0,0,2XX CENTRAL ST,Strathcona,492821.9014,5457605.8879
Theft from Vehicle,2020,10,2,12,0,2XX E 1ST AVE,Strathcona,492821.8053,5457383.9482
Theft from Vehicle,2020,7,13,0,30,2XX E 1ST AVE,Strathcona,492839.3438,5457368.5213
Theft from Vehicle,2020,10,14,22,30,2XX E CORDOVA ST,Strathcona,492876.5125,5458843.0897
Theft from Vehicle,2020,2,3,6,45,2XX E GEORGIA ST,Strathcona,492744.9605,5458433.0601
Theft from Vehicle,2020,4,30,10,8,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2020,7,4,23,53,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2020,9,1,12,0,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2020,10,19,1,21,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2020,3,21,0,35,2XX E GEORGIA ST,Strathcona,492767.4329,5458423.4083
Theft from Vehicle,2020,1,4,7,43,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,1,8,9,45,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,1,8,18,10,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,2,29,13,45,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,6,15,8,15,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,9,6,21,0,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,9,20,16,0,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,10,2,10,0,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,11,13,8,0,2XX E GEORGIA ST,Strathcona,492771.2519,5458432.4687
Theft from Vehicle,2020,2,5,19,0,2XX E GEORGIA ST,Strathcona,492803.5673,5458422.5956
Theft from Vehicle,2020,5,1,15,30,2XX E GEORGIA ST,Strathcona,492821.8402,5458431.3309
Theft from Vehicle,2020,12,7,9,30,2XX E GEORGIA ST,Strathcona,492821.8402,5458431.3309
Theft from Vehicle,2020,1,3,21,0,2XX E GEORGIA ST,Strathcona,492832.4749,5458421.9453
Theft from Vehicle,2020,11,17,0,0,2XX E GEORGIA ST,Strathcona,492839.9074,5458430.9245
Theft from Vehicle,2020,10,31,13,10,2XX E HASTINGS ST,Strathcona,492757.755,5458732.61
Theft from Vehicle,2020,3,30,13,21,2XX E HASTINGS ST,Strathcona,492826.2365,5458740.0418
Theft from Vehicle,2020,8,12,15,30,2XX E HASTINGS ST,Strathcona,492847.009,5458739.5216
Theft from Vehicle,2020,2,7,11,12,2XX E PENDER ST,Strathcona,492757.3267,5458625.1479
Theft from Vehicle,2020,9,1,15,0,2XX E PENDER ST,Strathcona,492757.3267,5458625.1479
Theft from Vehicle,2020,12,8,23,4,2XX E PENDER ST,Strathcona,492802.1226,5458623.7888
Theft from Vehicle,2020,1,18,14,30,2XX E PENDER ST,Strathcona,492864.3151,5458621.9016
Theft from Vehicle,2020,4,5,14,30,2XX HAWKS AVE,Strathcona,493671.8559,5458909.7128
Theft from Vehicle,2020,10,9,0,44,2XX HEATLEY AVE,Strathcona,493498.1638,5458915.0182
Theft from Vehicle,2020,8,23,16,0,2XX INDUSTRIAL AVE,Strathcona,492794.3471,5457489.7579
Theft from Vehicle,2020,10,1,0,0,2XX JACKSON AVE,Strathcona,493214.3532,5458880.3169
Theft from Vehicle,2020,6,1,11,0,2XX KEEFER ST,Strathcona,492754.9726,5458525.2227
Theft from Vehicle,2020,8,19,17,9,2XX KEEFER ST,Strathcona,492754.9726,5458525.2227
Theft from Vehicle,2020,9,24,16,23,2XX KEEFER ST,Strathcona,492754.9726,5458525.2227
Theft from Vehicle,2020,2,6,8,30,2XX KEEFER ST,Strathcona,492873.6423,5458521.7303
Theft from Vehicle,2020,12,9,20,0,2XX KEEFER ST,Strathcona,492873.6423,5458521.7303
Theft from Vehicle,2020,1,22,18,0,2XX MAIN ST,Strathcona,492762.5001,5458916.923
Theft from Vehicle,2020,12,12,7,54,2XX NATIONAL AVE,Strathcona,492739.3203,5458019.4411
Theft from Vehicle,2020,1,24,20,11,2XX POWELL ST,Strathcona,492765.8292,5458937.6952
Theft from Vehicle,2020,3,24,10,23,2XX POWELL ST,Strathcona,492765.8292,5458937.6952
Theft from Vehicle,2020,2,14,17,20,2XX POWELL ST,Strathcona,492889.6436,5458943.0741
Theft from Vehicle,2020,1,27,16,0,2XX PRINCESS AVE,Strathcona,493356.6795,5458919.3871
Theft from Vehicle,2020,5,21,10,25,2XX PRINCESS AVE,Strathcona,493356.6795,5458919.3871
Theft from Vehicle,2020,7,14,9,30,2XX PRINCESS AVE,Strathcona,493356.6795,5458919.3871
Theft from Vehicle,2020,9,8,9,11,2XX PRINCESS AVE,Strathcona,493356.6795,5458919.3871
Theft from Vehicle,2020,4,6,12,11,2XX PRIOR ST,Strathcona,492744.7782,5458222.4722
Theft from Vehicle,2020,5,21,15,0,2XX TERMINAL AVE,Strathcona,492956.0112,5457739.4495
Theft from Vehicle,2020,7,23,13,30,2XX TERMINAL AVE,Strathcona,492956.0112,5457739.4495
Theft from Vehicle,2020,8,31,3,39,2XX UNION ST,Strathcona,492748.0568,5458325.6211
