TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2021,2,26,12,15,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,5,14,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,6,24,13,14,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,7,1,11,50,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,7,5,11,51,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,7,6,12,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,7,13,13,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,7,23,14,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,8,5,20,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,9,10,14,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,10,5,9,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,10,7,14,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,11,1,11,45,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,12,2,9,55,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,12,2,13,20,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2021,9,1,15,0,1X E HASTINGS ST,Central Business District,492441.0951,5458743.4818
Theft from Vehicle,2021,3,19,23,0,1X KEEFER PL,Central Business District,492357.1968,5458507.048
Theft from Vehicle,2021,8,10,14,0,1X PACIFIC BLVD,Central Business District,492544.0097,5458162.4514
Theft from Vehicle,2021,5,4,19,0,1X ROBSON ST,Central Business District,491719.5324,5458306.2162
Theft from Vehicle,2021,7,5,14,50,1X W CORDOVA ST,Central Business District,492385.3601,5458872.4547
Theft from Vehicle,2021,7,28,17,0,1X W CORDOVA ST,Central Business District,492392.3798,5458860.7733
Theft from Vehicle,2021,7,16,17,30,1XX ALEXANDER ST,Central Business District,492649.8225,5459025.35
Theft from Vehicle,2021,5,27,23,0,1XX ALEXANDER ST,Central Business District,492668.4124,5459030.1816
Theft from Vehicle,2021,9,1,22,30,1XX ALEXANDER ST,Central Business District,492669.106,5459030.3615
Theft from Vehicle,2021,6,6,11,35,1XX ALEXANDER ST,Central Business District,492677.389,5459041.9621
Theft from Vehicle,2021,9,19,20,30,1XX ALEXANDER ST,Central Business District,492677.389,5459041.9621
Theft from Vehicle,2021,11,20,22,0,1XX ALEXANDER ST,Central Business District,492677.389,5459041.9621
Theft from Vehicle,2021,5,28,20,45,1XX ALEXANDER ST,Central Business District,492714.598,5459037.7258
Theft from Vehicle,2021,8,7,17,0,1XX DAVIE ST,Central Business District,491229.7174,5457853.2969
Theft from Vehicle,2021,8,22,17,0,1XX DAVIE ST,Central Business District,491261.1815,5457818.9548
Theft from Vehicle,2021,7,15,8,30,1XX DRAKE ST,Central Business District,491068.985,5457806.0588
Theft from Vehicle,2021,4,15,19,0,1XX DRAKE ST,Central Business District,491113.4656,5457748.7174
Theft from Vehicle,2021,1,22,4,18,1XX DRAKE ST,Central Business District,491126.8091,5457748.2479
Theft from Vehicle,2021,1,21,23,30,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2021,9,15,14,30,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.6887
Theft from Vehicle,2021,2,20,14,31,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2021,6,20,23,24,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2021,7,18,5,18,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2021,8,16,2,43,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2021,10,1,22,43,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2021,11,6,8,18,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Theft from Vehicle,2021,12,23,20,0,1XX E CORDOVA ST,Central Business District,492606.1449,5458851.795
Theft from Vehicle,2021,4,22,2,0,1XX E CORDOVA ST,Central Business District,492633.5455,5458841.6885
Theft from Vehicle,2021,11,26,13,5,1XX E CORDOVA ST,Central Business District,492661.2653,5458840.7203
Theft from Vehicle,2021,7,17,14,0,1XX E CORDOVA ST,Central Business District,492689.1658,5458848.8952
Theft from Vehicle,2021,1,3,18,30,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2021,3,12,23,59,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2021,4,7,19,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2021,5,12,16,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2021,11,22,21,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.7436
Theft from Vehicle,2021,12,8,7,0,1XX E HASTINGS ST,Central Business District,492609.5029,5458737.4824
Theft from Vehicle,2021,11,14,6,20,1XX E HASTINGS ST,Central Business District,492636.1816,5458736.5923
Theft from Vehicle,2021,4,29,21,30,1XX E HASTINGS ST,Central Business District,492637.0331,5458736.5652
Theft from Vehicle,2021,9,5,3,34,1XX E PENDER ST,Central Business District,492571.0078,5458632.2725
Theft from Vehicle,2021,11,9,14,40,1XX E PENDER ST,Central Business District,492571.0078,5458632.2725
