TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,8,27,15,30,1X E CORDOVA ST,Central Business District,492441.7875,5458858.3376
Theft from Vehicle,2018,11,27,17,0,1X W HASTINGS ST,Central Business District,492375.3042,5458757.7072
Theft from Vehicle,2018,2,3,23,0,1XX ABBOTT ST,Central Business District,492271.3311,5459048.0216
Theft from Vehicle,2018,7,23,14,0,1XX ABBOTT ST,Central Business District,492271.3311,5459048.0216
Theft from Vehicle,2018,1,8,23,48,1XX ABBOTT ST,Central Business District,492274.3109,5459062.2004
Theft from Vehicle,2018,1,19,23,0,1XX ABBOTT ST,Central Business District,492274.3109,5459062.2004
Theft from Vehicle,2018,2,4,22,29,1XX ABBOTT ST,Central Business District,492274.3109,5459062.2004
Theft from Vehicle,2018,11,26,22,15,1XX ABBOTT ST,Central Business District,492274.3109,5459062.2004
Theft from Vehicle,2018,12,16,11,34,1XX ABBOTT ST,Central Business District,492274.3109,5459062.2004
Theft from Vehicle,2018,1,18,21,30,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,2,11,14,50,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,4,20,3,12,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,4,22,7,16,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,5,30,18,30,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,6,17,0,8,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,6,19,2,30,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,9,7,5,47,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,9,20,7,8,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,9,23,19,20,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,10,15,19,0,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
Theft from Vehicle,2018,11,16,20,0,1XX ALEXANDER ST,Central Business District,492575.463,5459006.0235
