TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2019,11,15,19,17,ABBOTT ST / W PENDER ST,Central Business District,492175.4366,5458706.8536
Mischief,2019,11,16,7,56,ABBOTT ST / W PENDER ST,Central Business District,492175.4366,5458706.8536
Mischief,2019,10,14,17,20,ABBOTT ST / WATER ST,Central Business District,492260.9736,5459020.968
Mischief,2019,12,15,17,30,ABBOTT ST / WATER ST,Central Business District,492260.9736,5459020.968
Mischief,2019,1,3,20,0,ALEXANDER ST / COLUMBIA ST,Central Business District,492570.16,5459009.3688
Mischief,2019,7,5,16,16,BEACH CRES / HOMER ST,Central Business District,490771.2461,5457656.3985
Mischief,2019,5,5,15,13,BEATTY ST / DUNSMUIR ST,Central Business District,491960.3798,5458570.8619
Mischief,2019,2,17,19,21,BEATTY ST / SMITHE ST,Central Business District,491593.4453,5458204.3752
Mischief,2019,4,15,22,7,BEATTY ST / W GEORGIA ST,Central Business District,491835.3334,5458445.4738
Mischief,2019,12,24,20,0,BEATTY ST / W GEORGIA ST,Central Business District,491835.3334,5458445.4738
Mischief,2019,4,14,18,0,BEATTY ST / W PENDER ST,Central Business District,492111.7939,5458724.1652
Mischief,2019,1,13,20,0,BROUGHTON ST / W HASTINGS ST,Central Business District,490780.001,5459701.1735
Mischief,2019,5,13,22,30,BURRARD ST / W HASTINGS ST,Central Business District,491494.5414,5459386.9078
Mischief,2019,7,12,8,0,BURRARD ST / W HASTINGS ST,Central Business District,491494.5414,5459386.9078
Mischief,2019,2,16,19,25,BURRARD ST / W PENDER ST,Central Business District,491426.8765,5459318.3757
Mischief,2019,6,4,11,16,BURRARD ST / W PENDER ST,Central Business District,491426.8765,5459318.3757
Mischief,2019,1,7,17,10,BUTE ST / W HASTINGS ST,Central Business District,491073.0496,5459567.7935
Mischief,2019,7,11,20,30,BUTE ST / W PENDER ST,Central Business District,491027.554,5459520.0552
Mischief,2019,11,25,14,18,CAMBIE ST / NELSON ST,Central Business District,491405.1788,5458158.2779
Mischief,2019,5,20,17,45,CAMBIE ST / ROBSON ST,Central Business District,491638.2791,5458390.1404
Mischief,2019,8,11,14,0,CAMBIE ST / ROBSON ST,Central Business District,491638.2792,5458390.14
Mischief,2019,9,1,22,0,CAMBIE ST / W CORDOVA ST,Central Business District,492061.6986,5458981.8421
Mischief,2019,10,25,15,40,CAMBIE ST / W GEORGIA ST,Central Business District,491761.0359,5458513.5215
Mischief,2019,6,13,21,0,CAMBIE ST / W HASTINGS ST,Central Business District,492028.3046,5458872.7095
