TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2020,1,11,11,35,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2020,1,19,15,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2020,1,29,17,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2020,2,1,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2020,3,6,13,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2020,7,15,14,0,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.6754
Theft from Vehicle,2020,3,17,12,45,1X E HASTINGS ST,Central Business District,492441.0951,5458743.4818
Theft from Vehicle,2020,12,15,19,0,1X W CORDOVA ST,Central Business District,492392.3798,5458860.7733
Theft from Vehicle,2020,4,14,15,42,1X WATER ST,Central Business District,492396.2784,5458979.5438
Theft from Vehicle,2020,1,6,20,0,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2020,10,1,21,30,1XX ABBOTT ST,Central Business District,492274.1283,5459061.3311
Theft from Vehicle,2020,1,8,20,30,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2020,4,13,21,55,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2020,5,1,20,0,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2020,9,3,7,20,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2020,9,11,23,0,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.4397
Theft from Vehicle,2020,12,4,21,30,1XX ALEXANDER ST,Central Business District,492612.6626,5459015.6916
Theft from Vehicle,2020,2,14,21,35,1XX ALEXANDER ST,Central Business District,492614.0606,5459025.5031
Theft from Vehicle,2020,11,11,20,0,1XX ALEXANDER ST,Central Business District,492677.389,5459041.9621
Theft from Vehicle,2020,2,14,10,47,1XX CAMBIE ST,Central Business District,492100.4405,5459101.7177
Theft from Vehicle,2020,9,13,21,20,1XX CAMBIE ST,Central Business District,492100.4405,5459101.7177
Theft from Vehicle,2020,10,23,12,15,1XX COLUMBIA ST,Central Business District,492573.8086,5458975.7158
Theft from Vehicle,2020,2,23,15,59,1XX COLUMBIA ST,Central Business District,492574.7124,5459008.5986
Theft from Vehicle,2020,4,19,6,54,1XX DAVIE ST,Central Business District,491206.786,5457904.1192
Theft from Vehicle,2020,1,15,18,0,1XX DAVIE ST,Central Business District,491208.5329,5457902.3126
Theft from Vehicle,2020,4,16,6,0,1XX DAVIE ST,Central Business District,491208.5329,5457902.3126
Theft from Vehicle,2020,5,4,15,50,1XX DAVIE ST,Central Business District,491208.5329,5457902.3126
Theft from Vehicle,2020,1,31,12,30,1XX DRAKE ST,Central Business District,491015.8034,5457857.0172
Theft from Vehicle,2020,4,24,17,0,1XX DRAKE ST,Central Business District,491015.8034,5457857.0172
Theft from Vehicle,2020,2,25,12,0,1XX DRAKE ST,Central Business District,491049.1899,5457825.0263
Theft from Vehicle,2020,10,19,17,0,1XX DRAKE ST,Central Business District,491126.8091,5457748.2479
Theft from Vehicle,2020,3,20,19,30,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Theft from Vehicle,2020,2,27,9,0,1XX E CORDOVA ST,Central Business District,492574.641,5458843.7457
Theft from Vehicle,2020,3,18,11,10,1XX E CORDOVA ST,Central Business District,492574.641,5458843.7457
Theft from Vehicle,2020,7,6,21,0,1XX E CORDOVA ST,Central Business District,492574.641,5458843.7457
